:START_ID,:END_ID,:TYPE
32945,55269,BELONGS_TO
32946,54943,BELONGS_TO
32947,54617,BELONGS_TO
32948,55323,BELONGS_TO
32949,54603,BELONGS_TO
32950,54966,BELONGS_TO
32951,54625,BELONGS_TO
32952,55323,BELONGS_TO
32953,55323,BELONGS_TO
32954,55029,BELONGS_TO
32955,55123,BELONGS_TO
32956,55323,BELONGS_TO
32957,55279,BELONGS_TO
32958,54677,BELONGS_TO
32959,54442,BELONGS_TO
32960,55323,BELONGS_TO
32961,55009,BELONGS_TO
32962,55280,BELONGS_TO
32963,54448,BELONGS_TO
32964,55293,BELONGS_TO
32965,55422,BELONGS_TO
32966,55016,BELONGS_TO
32967,55323,BELONGS_TO
32968,55293,BELONGS_TO
32969,55323,BELONGS_TO
32970,55323,BELONGS_TO
32971,55016,BELONGS_TO
32972,55016,BELONGS_TO
32973,55161,BELONGS_TO
32974,54624,BELONGS_TO
32975,54450,BELONGS_TO
32976,54851,BELONGS_TO
32977,55323,BELONGS_TO
32978,55323,BELONGS_TO
32979,55434,BELONGS_TO
32980,54944,BELONGS_TO
32981,54941,BELONGS_TO
32982,55323,BELONGS_TO
32983,55009,BELONGS_TO
32984,54596,BELONGS_TO
32985,54450,BELONGS_TO
32986,54677,BELONGS_TO
32987,54622,BELONGS_TO
32988,55016,BELONGS_TO
32989,55435,BELONGS_TO
32990,55435,BELONGS_TO
32991,55323,BELONGS_TO
32992,55009,BELONGS_TO
32993,55323,BELONGS_TO
32994,54442,BELONGS_TO
32995,55323,BELONGS_TO
32996,54622,BELONGS_TO
32997,55406,BELONGS_TO
32998,54851,BELONGS_TO
32999,55323,BELONGS_TO
33000,54624,BELONGS_TO
33001,55009,BELONGS_TO
33002,55161,BELONGS_TO
33003,54450,BELONGS_TO
33004,55434,BELONGS_TO
33005,54579,BELONGS_TO
33006,55298,BELONGS_TO
33007,54780,BELONGS_TO
33008,55323,BELONGS_TO
33009,55323,BELONGS_TO
33010,54812,BELONGS_TO
33011,54835,BELONGS_TO
33012,54624,BELONGS_TO
33013,55269,BELONGS_TO
33014,55323,BELONGS_TO
33015,55323,BELONGS_TO
33016,55062,BELONGS_TO
33017,54678,BELONGS_TO
33018,55009,BELONGS_TO
33019,54851,BELONGS_TO
33020,55323,BELONGS_TO
33021,55323,BELONGS_TO
33022,54677,BELONGS_TO
33023,54625,BELONGS_TO
33024,55033,BELONGS_TO
33025,54868,BELONGS_TO
33026,54625,BELONGS_TO
33027,55132,BELONGS_TO
33028,54447,BELONGS_TO
33029,55435,BELONGS_TO
33030,54626,BELONGS_TO
33031,54622,BELONGS_TO
33032,55323,BELONGS_TO
33033,55323,BELONGS_TO
33034,55212,BELONGS_TO
33035,54622,BELONGS_TO
33036,55323,BELONGS_TO
33037,54615,BELONGS_TO
33038,55202,BELONGS_TO
33039,54943,BELONGS_TO
33040,55055,BELONGS_TO
33041,54624,BELONGS_TO
33042,55282,BELONGS_TO
33043,54786,BELONGS_TO
33044,54622,BELONGS_TO
33045,54620,BELONGS_TO
33046,54675,BELONGS_TO
33047,54622,BELONGS_TO
33048,54484,BELONGS_TO
33049,54601,BELONGS_TO
33050,54944,BELONGS_TO
33051,55062,BELONGS_TO
33052,55323,BELONGS_TO
33053,55212,BELONGS_TO
33054,54977,BELONGS_TO
33055,55323,BELONGS_TO
33056,54617,BELONGS_TO
33057,54462,BELONGS_TO
33058,55347,BELONGS_TO
33059,55016,BELONGS_TO
33060,54678,BELONGS_TO
33061,55088,BELONGS_TO
33062,54622,BELONGS_TO
33063,55009,BELONGS_TO
33064,54484,BELONGS_TO
33065,54497,BELONGS_TO
33066,55323,BELONGS_TO
33067,55323,BELONGS_TO
33068,54626,BELONGS_TO
33069,55013,BELONGS_TO
33070,54622,BELONGS_TO
33071,54678,BELONGS_TO
33072,54677,BELONGS_TO
33073,55233,BELONGS_TO
33074,54450,BELONGS_TO
33075,55435,BELONGS_TO
33076,55323,BELONGS_TO
33077,54851,BELONGS_TO
33078,55323,BELONGS_TO
33079,54442,BELONGS_TO
33080,55435,BELONGS_TO
33081,54622,BELONGS_TO
33082,55088,BELONGS_TO
33083,55246,BELONGS_TO
33084,54997,BELONGS_TO
33085,54942,BELONGS_TO
33086,54603,BELONGS_TO
33087,54678,BELONGS_TO
33088,54624,BELONGS_TO
33089,55323,BELONGS_TO
33090,54625,BELONGS_TO
33091,55360,BELONGS_TO
33092,54442,BELONGS_TO
33093,55435,BELONGS_TO
33094,55029,BELONGS_TO
33095,55233,BELONGS_TO
33096,55323,BELONGS_TO
33097,55323,BELONGS_TO
33098,54484,BELONGS_TO
33099,54617,BELONGS_TO
33100,54733,BELONGS_TO
33101,54484,BELONGS_TO
33102,54450,BELONGS_TO
33103,54927,BELONGS_TO
33104,54971,BELONGS_TO
33105,55323,BELONGS_TO
33106,55323,BELONGS_TO
33107,54618,BELONGS_TO
33108,55435,BELONGS_TO
33109,54510,BELONGS_TO
33110,55213,BELONGS_TO
33111,54665,BELONGS_TO
33112,55282,BELONGS_TO
33113,54484,BELONGS_TO
33114,54476,BELONGS_TO
33115,55422,BELONGS_TO
33116,55158,BELONGS_TO
33117,55323,BELONGS_TO
33118,55323,BELONGS_TO
