:START_ID,:END_ID,:TYPE
32945,49213,LOCATED_IN
32946,49214,LOCATED_IN
32947,49215,LOCATED_IN
32948,49216,LOCATED_IN
32949,49213,LOCATED_IN
32950,49214,LOCATED_IN
32951,49213,LOCATED_IN
32952,49214,LOCATED_IN
32953,49217,LOCATED_IN
32954,49218,LOCATED_IN
32955,49219,LOCATED_IN
32956,49220,LOCATED_IN
32957,49221,LOCATED_IN
32958,49222,LOCATED_IN
32959,49223,LOCATED_IN
32960,49224,LOCATED_IN
32961,49225,LOCATED_IN
32962,49214,LOCATED_IN
32963,49226,LOCATED_IN
32964,49227,LOCATED_IN
32965,49228,LOCATED_IN
32966,49218,LOCATED_IN
32967,49218,LOCATED_IN
32968,49229,LOCATED_IN
32969,49218,LOCATED_IN
32970,49230,LOCATED_IN
32971,49213,LOCATED_IN
32972,49231,LOCATED_IN
32973,49232,LOCATED_IN
32974,49233,LOCATED_IN
32975,49220,LOCATED_IN
32976,49214,LOCATED_IN
32977,49231,LOCATED_IN
32978,49234,LOCATED_IN
32979,49235,LOCATED_IN
32980,49236,LOCATED_IN
32981,49237,LOCATED_IN
32982,49228,LOCATED_IN
32983,49238,LOCATED_IN
32984,49221,LOCATED_IN
32985,49222,LOCATED_IN
32986,49222,LOCATED_IN
32987,49239,LOCATED_IN
32988,49222,LOCATED_IN
32989,49240,LOCATED_IN
32990,49241,LOCATED_IN
32991,49217,LOCATED_IN
32992,49242,LOCATED_IN
32993,49243,LOCATED_IN
32994,49244,LOCATED_IN
32995,49245,LOCATED_IN
32996,49246,LOCATED_IN
32997,49247,LOCATED_IN
32998,49241,LOCATED_IN
32999,49248,LOCATED_IN
33000,49249,LOCATED_IN
33001,49220,LOCATED_IN
33002,49250,LOCATED_IN
33003,49217,LOCATED_IN
33004,49217,LOCATED_IN
33005,49236,LOCATED_IN
33006,49218,LOCATED_IN
33007,49217,LOCATED_IN
33008,49251,LOCATED_IN
33009,49217,LOCATED_IN
33010,49252,LOCATED_IN
33011,49253,LOCATED_IN
33012,49254,LOCATED_IN
33013,49230,LOCATED_IN
33014,49255,LOCATED_IN
33015,49256,LOCATED_IN
33016,49257,LOCATED_IN
33017,49224,LOCATED_IN
33018,49233,LOCATED_IN
33019,49258,LOCATED_IN
33020,49259,LOCATED_IN
33021,49217,LOCATED_IN
33022,49260,LOCATED_IN
33023,49261,LOCATED_IN
33024,49262,LOCATED_IN
33025,49263,LOCATED_IN
33026,49264,LOCATED_IN
33027,49265,LOCATED_IN
33028,49266,LOCATED_IN
33029,49214,LOCATED_IN
33030,49267,LOCATED_IN
33031,49268,LOCATED_IN
33032,49269,LOCATED_IN
33033,49270,LOCATED_IN
33034,49271,LOCATED_IN
33035,49237,LOCATED_IN
33036,49217,LOCATED_IN
33037,49272,LOCATED_IN
33038,49271,LOCATED_IN
33039,49236,LOCATED_IN
33040,49273,LOCATED_IN
33041,49274,LOCATED_IN
33042,49233,LOCATED_IN
33043,49275,LOCATED_IN
33044,49268,LOCATED_IN
33045,49276,LOCATED_IN
33046,49249,LOCATED_IN
33047,49277,LOCATED_IN
33048,49217,LOCATED_IN
33049,49278,LOCATED_IN
33050,49237,LOCATED_IN
33051,49279,LOCATED_IN
33052,49259,LOCATED_IN
33053,49271,LOCATED_IN
33054,49280,LOCATED_IN
33055,49217,LOCATED_IN
33056,49281,LOCATED_IN
33057,49282,LOCATED_IN
33058,49237,LOCATED_IN
33059,49283,LOCATED_IN
33060,49217,LOCATED_IN
33061,49284,LOCATED_IN
33062,49285,LOCATED_IN
33063,49237,LOCATED_IN
33064,49286,LOCATED_IN
33065,49236,LOCATED_IN
33066,49287,LOCATED_IN
33067,49288,LOCATED_IN
33068,49289,LOCATED_IN
33069,49290,LOCATED_IN
33070,49237,LOCATED_IN
33071,49291,LOCATED_IN
33072,49292,LOCATED_IN
33073,49289,LOCATED_IN
33074,49293,LOCATED_IN
33075,49221,LOCATED_IN
33076,49277,LOCATED_IN
33077,49217,LOCATED_IN
33078,49221,LOCATED_IN
33079,49217,LOCATED_IN
33080,49289,LOCATED_IN
33081,49217,LOCATED_IN
33082,49268,LOCATED_IN
33083,49294,LOCATED_IN
33084,49295,LOCATED_IN
33085,49296,LOCATED_IN
33086,49297,LOCATED_IN
33087,49241,LOCATED_IN
33088,49298,LOCATED_IN
33089,49299,LOCATED_IN
33090,49297,LOCATED_IN
33091,49221,LOCATED_IN
33092,49300,LOCATED_IN
33093,49217,LOCATED_IN
33094,49301,LOCATED_IN
33095,49221,LOCATED_IN
33096,49302,LOCATED_IN
33097,49303,LOCATED_IN
33098,49304,LOCATED_IN
33099,49237,LOCATED_IN
33100,49305,LOCATED_IN
33101,49306,LOCATED_IN
33102,49217,LOCATED_IN
33103,49307,LOCATED_IN
33104,49241,LOCATED_IN
33105,49228,LOCATED_IN
33106,49268,LOCATED_IN
33107,49308,LOCATED_IN
33108,49309,LOCATED_IN
33109,49224,LOCATED_IN
33110,49310,LOCATED_IN
33111,49311,LOCATED_IN
33112,49312,LOCATED_IN
33113,49313,LOCATED_IN
33114,49314,LOCATED_IN
33115,49315,LOCATED_IN
33116,49236,LOCATED_IN
33117,49316,LOCATED_IN
33118,49268,LOCATED_IN
33119,49317,LOCATED_IN
33120,49318,LOCATED_IN
33121,49218,LOCATED_IN
33122,49217,LOCATED_IN
33123,49269,LOCATED_IN
33124,49319,LOCATED_IN
33125,49217,LOCATED_IN
33126,49301,LOCATED_IN
33127,49241,LOCATED_IN
33128,49217,LOCATED_IN
33129,49291,LOCATED_IN
33130,49241,LOCATED_IN
33131,49217,LOCATED_IN
33132,49215,LOCATED_IN
33133,49217,LOCATED_IN
33134,49303,LOCATED_IN
33135,49320,LOCATED_IN
33136,49236,LOCATED_IN
33137,49268,LOCATED_IN
33138,49321,LOCATED_IN
33139,49322,LOCATED_IN
33140,49323,LOCATED_IN
33141,49226,LOCATED_IN
33142,49249,LOCATED_IN
33143,49324,LOCATED_IN
33144,49325,LOCATED_IN
33145,49326,LOCATED_IN
33146,49327,LOCATED_IN
33147,49237,LOCATED_IN
33148,49328,LOCATED_IN
33149,49237,LOCATED_IN
33150,49329,LOCATED_IN
33151,49217,LOCATED_IN
33152,49268,LOCATED_IN
33153,49330,LOCATED_IN
33154,49241,LOCATED_IN
33155,49331,LOCATED_IN
33156,49332,LOCATED_IN
33157,49293,LOCATED_IN
33158,49285,LOCATED_IN
33159,49259,LOCATED_IN
33160,49324,LOCATED_IN
33161,49333,LOCATED_IN
33162,49334,LOCATED_IN
33163,49318,LOCATED_IN
33164,49241,LOCATED_IN
33165,49335,LOCATED_IN
33166,49286,LOCATED_IN
33167,49237,LOCATED_IN
33168,49263,LOCATED_IN
33169,49288,LOCATED_IN
33170,49336,LOCATED_IN
33171,49337,LOCATED_IN
33172,49302,LOCATED_IN
33173,49230,LOCATED_IN
33174,49236,LOCATED_IN
33175,49338,LOCATED_IN
33176,49302,LOCATED_IN
33177,49314,LOCATED_IN
33178,49339,LOCATED_IN
33179,49340,LOCATED_IN
33180,49241,LOCATED_IN
33181,49310,LOCATED_IN
33182,49341,LOCATED_IN
33183,49217,LOCATED_IN
33184,49268,LOCATED_IN
33185,49218,LOCATED_IN
33186,49324,LOCATED_IN
33187,49233,LOCATED_IN
33188,49342,LOCATED_IN
33189,49310,LOCATED_IN
33190,49256,LOCATED_IN
33191,49297,LOCATED_IN
33192,49217,LOCATED_IN
33193,49296,LOCATED_IN
33194,49343,LOCATED_IN
33195,49344,LOCATED_IN
33196,49345,LOCATED_IN
33197,49282,LOCATED_IN
33198,49340,LOCATED_IN
33199,49217,LOCATED_IN
33200,49346,LOCATED_IN
33201,49217,LOCATED_IN
33202,49302,LOCATED_IN
33203,49347,LOCATED_IN
33204,49348,LOCATED_IN
33205,49349,LOCATED_IN
33206,49289,LOCATED_IN
33207,49268,LOCATED_IN
33208,49217,LOCATED_IN
33209,49285,LOCATED_IN
33210,49350,LOCATED_IN
33211,49351,LOCATED_IN
33212,49256,LOCATED_IN
33213,49229,LOCATED_IN
33214,49352,LOCATED_IN
33215,49214,LOCATED_IN
33216,49236,LOCATED_IN
