:START_ID,:END_ID,:TYPE
32945,3522,NEEDS
32945,3556,NEEDS
32945,3555,NEEDS
32945,3554,NEEDS
32945,3553,NEEDS
32945,3525,NEEDS
32945,3526,NEEDS
32945,3527,NEEDS
32945,3528,NEEDS
32945,3552,NEEDS
32945,3531,NEEDS
32945,3529,NEEDS
32945,3551,NEEDS
32945,3550,NEEDS
32945,3549,NEEDS
32945,3548,NEEDS
32945,3547,NEEDS
32945,3546,NEEDS
32945,3532,NEEDS
32945,3533,NEEDS
32945,3534,NEEDS
32945,3535,NEEDS
32945,3536,NEEDS
32945,3537,NEEDS
32945,3557,NEEDS
32945,3538,NEEDS
32945,3540,NEEDS
32945,3541,NEEDS
32945,3542,NEEDS
32945,3543,NEEDS
32945,3544,NEEDS
32945,3545,NEEDS
32945,3539,NEEDS
32945,3524,NEEDS
32945,3530,NEEDS
32945,3523,NEEDS
32946,3560,NEEDS
32946,3559,NEEDS
32946,3561,NEEDS
32946,3562,NEEDS
32946,3558,NEEDS
32947,3566,NEEDS
32947,3563,NEEDS
32947,3565,NEEDS
32947,3564,NEEDS
32948,3585,NEEDS
32948,3575,NEEDS
32948,3529,NEEDS
32948,3576,NEEDS
32948,3582,NEEDS
32948,3583,NEEDS
32948,3579,NEEDS
32948,3568,NEEDS
32948,3584,NEEDS
32948,3580,NEEDS
32948,3581,NEEDS
32948,3577,NEEDS
32948,3578,NEEDS
32948,3567,NEEDS
32948,3574,NEEDS
32948,3570,NEEDS
32948,3586,NEEDS
32948,3587,NEEDS
32948,3569,NEEDS
32948,3571,NEEDS
32948,3572,NEEDS
32948,3573,NEEDS
32949,3589,NEEDS
32949,3590,NEEDS
32949,3591,NEEDS
32949,3592,NEEDS
32949,3588,NEEDS
32949,3585,NEEDS
32950,3596,NEEDS
32950,3595,NEEDS
32950,3594,NEEDS
32950,3593,NEEDS
32950,3597,NEEDS
32951,3600,NEEDS
32951,3599,NEEDS
32951,3601,NEEDS
32951,3602,NEEDS
32951,3606,NEEDS
32951,3605,NEEDS
32951,3604,NEEDS
32951,3603,NEEDS
32951,3598,NEEDS
32952,3609,NEEDS
32952,3598,NEEDS
32952,3607,NEEDS
32952,3613,NEEDS
32952,3612,NEEDS
32952,3610,NEEDS
32952,3608,NEEDS
32952,3611,NEEDS
32953,3615,NEEDS
32953,3616,NEEDS
32953,3532,NEEDS
32953,3614,NEEDS
32953,3588,NEEDS
32954,3633,NEEDS
32954,3634,NEEDS
32954,3635,NEEDS
32954,3636,NEEDS
32954,3637,NEEDS
32954,3638,NEEDS
32954,3551,NEEDS
32954,3639,NEEDS
32954,3640,NEEDS
32954,3641,NEEDS
32954,3642,NEEDS
32954,3643,NEEDS
32954,3644,NEEDS
32954,3645,NEEDS
32954,3526,NEEDS
32954,3632,NEEDS
32954,3609,NEEDS
32954,3631,NEEDS
32954,3629,NEEDS
32954,3617,NEEDS
32954,3618,NEEDS
32954,3619,NEEDS
32954,3620,NEEDS
32954,3621,NEEDS
32954,3622,NEEDS
32954,3623,NEEDS
32954,3630,NEEDS
32954,3624,NEEDS
32954,3626,NEEDS
32954,3627,NEEDS
32954,3615,NEEDS
32954,3628,NEEDS
32954,3625,NEEDS
32955,3585,NEEDS
32955,3649,NEEDS
32955,3648,NEEDS
32955,3529,NEEDS
32955,3647,NEEDS
32955,3646,NEEDS
32956,3650,NEEDS
32956,3551,NEEDS
32957,3653,NEEDS
32957,3654,NEEDS
32957,3651,NEEDS
32957,3652,NEEDS
32958,3659,NEEDS
32958,3673,NEEDS
32958,3672,NEEDS
32958,3664,NEEDS
32958,3671,NEEDS
32958,3670,NEEDS
32958,3669,NEEDS
32958,3668,NEEDS
32958,3660,NEEDS
32958,3655,NEEDS
32958,3657,NEEDS
32958,3667,NEEDS
32958,3674,NEEDS
32958,3663,NEEDS
32958,3662,NEEDS
32958,3658,NEEDS
32958,3661,NEEDS
32958,3656,NEEDS
32958,3675,NEEDS
32958,3666,NEEDS
32958,3681,NEEDS
32958,3665,NEEDS
32958,3600,NEEDS
32958,3677,NEEDS
32958,3678,NEEDS
32958,3679,NEEDS
32958,3568,NEEDS
32958,3680,NEEDS
32958,3676,NEEDS
32959,3646,NEEDS
32959,3684,NEEDS
32959,3683,NEEDS
32959,3682,NEEDS
