:START_ID,:END_ID,:TYPE
50617,32945,POSTED
50617,48464,POSTED
50617,48410,POSTED
50617,48408,POSTED
50617,48278,POSTED
50617,48017,POSTED
50617,44857,POSTED
50617,44632,POSTED
50617,43967,POSTED
50617,43554,POSTED
50617,41836,POSTED
50617,41561,POSTED
50617,41211,POSTED
50617,40957,POSTED
50617,40890,POSTED
50617,48790,POSTED
50617,40773,POSTED
50617,37115,POSTED
50617,37080,POSTED
50617,36991,POSTED
50617,36662,POSTED
50617,36597,POSTED
50617,36459,POSTED
50617,36379,POSTED
50617,36362,POSTED
50617,36015,POSTED
50617,35543,POSTED
50617,35000,POSTED
50617,33966,POSTED
50617,33600,POSTED
50617,33228,POSTED
50617,40657,POSTED
50617,48992,POSTED
50618,32946,POSTED
50619,32947,POSTED
50619,43626,POSTED
50619,41138,POSTED
50619,41130,POSTED
50619,41124,POSTED
50619,41108,POSTED
50619,41364,POSTED
50619,36155,POSTED
50619,36058,POSTED
50619,35909,POSTED
50619,35175,POSTED
50619,36191,POSTED
50620,32948,POSTED
50621,34676,POSTED
50621,34597,POSTED
50621,34598,POSTED
50621,34612,POSTED
50621,34625,POSTED
50621,34629,POSTED
50621,34643,POSTED
50621,34648,POSTED
50621,34684,POSTED
50621,41842,POSTED
50621,34735,POSTED
50621,34763,POSTED
50621,34774,POSTED
50621,34778,POSTED
50621,34593,POSTED
50621,41880,POSTED
50621,41910,POSTED
50621,41943,POSTED
50621,34704,POSTED
50621,34566,POSTED
50621,34610,POSTED
50621,34556,POSTED
50621,32949,POSTED
50621,34264,POSTED
50621,34564,POSTED
50621,34405,POSTED
50621,34408,POSTED
50621,34432,POSTED
50621,34441,POSTED
50621,34442,POSTED
50621,34446,POSTED
50621,34356,POSTED
50621,34460,POSTED
50621,34478,POSTED
50621,34486,POSTED
50621,34487,POSTED
50621,34488,POSTED
50621,34490,POSTED
50621,34518,POSTED
50621,34523,POSTED
50621,34459,POSTED
50622,48959,POSTED
50622,47084,POSTED
50622,46806,POSTED
50622,42231,POSTED
50622,36680,POSTED
50622,34587,POSTED
50622,32950,POSTED
50622,42016,POSTED
50623,32951,POSTED
50623,37748,POSTED
50623,37841,POSTED
50623,37883,POSTED
50623,38031,POSTED
50624,46491,POSTED
50624,44298,POSTED
50624,46468,POSTED
50624,33855,POSTED
50624,32952,POSTED
50624,34063,POSTED
50625,33115,POSTED
50625,33188,POSTED
50625,33205,POSTED
50625,34266,POSTED
50625,34471,POSTED
50625,34513,POSTED
50625,34641,POSTED
50625,34694,POSTED
50625,34713,POSTED
50625,34757,POSTED
50625,34769,POSTED
50625,41618,POSTED
50625,33021,POSTED
50625,33019,POSTED
50625,33107,POSTED
50625,33009,POSTED
50625,32953,POSTED
50625,32957,POSTED
50625,33011,POSTED
50625,32961,POSTED
50625,32964,POSTED
50625,32971,POSTED
50625,32959,POSTED
50625,32983,POSTED
50625,32991,POSTED
50625,32992,POSTED
50625,33003,POSTED
50625,33007,POSTED
50625,32976,POSTED
50626,33001,POSTED
50626,41884,POSTED
