:START_ID,:END_ID,:TYPE
0,41,TEACHES
0,131,TEACHES
0,42,TEACHES
2,44,TEACHES
3,41,TEACHES
4,41,TEACHES
5,40,TEACHES
5,177,TEACHES
5,70,TEACHES
5,70,TEACHES
7,48,TEACHES
7,177,TEACHES
7,70,TEACHES
8,48,TEACHES
8,48,TEACHES
8,70,TEACHES
9,70,TEACHES
9,70,TEACHES
9,60,TEACHES
9,40,TEACHES
10,147,TEACHES
10,104,TEACHES
12,87,TEACHES
12,72,TEACHES
12,39,TEACHES
12,56,TEACHES
13,147,TEACHES
14,53,TEACHES
16,72,TEACHES
16,77,TEACHES
16,39,TEACHES
16,87,TEACHES
18,131,TEACHES
19,42,TEACHES
19,39,TEACHES
19,72,TEACHES
19,87,TEACHES
