listing_id:ID,listing_title,description,:LABEL
0,Salesforce Developer,"Location: Indianapolis, INDo not send fake profilesThe Sr. Analyst is a technology savvy individual with good knowledge of industry trends and best practices and applies them successfully in his/her areas of work. The Sr. Analyst will lead high and low level software design, development, unit testing, deployment, troubleshooting, and fixes for medium to high complexity projects. The Sr. Analyst will be responsible for conducting code reviews for his/her project. The Sr. Analyst may also participate and lead in team and technology advancement activities.• Proficiency in design, implementation of Salesforce.com based application solutions (i.e., custom objects, visual force pages, custom configuration, etc…)• Passionate about technology and innovation.• General understanding of activities across the Application Development discipline • Demonstrate solid understanding of contemporary architectures, design patterns, best practices, and computer programming techniques, such as Modular and Object-Oriented Programming • Demonstrate excellent analytical, logical reasoning and problem solving skills • Demonstrate excellent verbal and written communication skills • Demonstrate excellent teamwork and interpersonal skills • Ability to lead medium to large functional teams • Must be a self-starter and should be able to initiate and complete assignments with little to no supervision • Willing to make commitments and ability to consistently meet timelines • Demonstrate solid coaching and mentoring skills • Strong knowledge of various SDLC methodologies and their respective advantages and trade-offs • Proven ability to independently perform full life cycle applications development including requirements, design, coding, testing, implementation and documentation.Job experience: • Minimum of 8+ years of IT experience in an application development environment • Experience working on a large-scale enterprise wide projects • 4+ years of experience working in Salesforce• 4+ years of experience in performing high and low level project analysis and design • 3+ years of experience using Unified Modeling Language (UML) and UML tools • 3+ years of experience in Web service integrationBasic Qualifications:• Minimum of 8 years of IT experience in an application development environment • Experience working on a large scale enterprise wide project • Experience working in Salesforce for 4+ years• Experience using Force.com technologies including Apex, VisualForce, MobileSDK, Salesforce/ Lightning connect,salesforce1 platform and Lightning components• Experience working in at least one of Sales or Service cloud• Experience utilizing Salesforce APIs (SOAP/REST) and HTTP web callouts• Familiar with JavaScript, JSON and frameworks such as Angular/Backbone on Force.com• Familiar with SOAP & RESTful service design & development• Experience with source code management & deployment automation for salesforce/Force.com• Experience with Salesforce toolsets (Force IDE, Data Loader, Workbench, Ant). • Able to design complex SOQL and SOSL queries. • Familiar with tools & process for loading and migrating data and code between sandboxes and production Salesforce environments.• 2+ years of experience in performing module level analysis and design • 2+ years of experience using Unified Modeling Language (UML) and UML tools • 2+ years of experience in Web service integrationExposure to following technologies will be a plus:• Familiar with Analytics(Wave), Marketing cloud and Reporting• Experience with ETL Tools like Informatica or Informatica Cloud a plus• Enjoy working in a small team and collaborating using Agile/Scrum methodology.",LISTING
1,Applications Manager,"We're conducting a search for an Applications Manager with strong leadership abilities for an established, growing Eastside firm.  This is an opportunity to build, mentor and lead a development team in a mixed agile / waterfall environment, impart knowledge of best practices and develop an environment of continuous improvement and excellent service delivery.Requirements:• Ability to analyze existing applications effectiveness and alignment with business needs and provide strategic direction to improve and/or replace as required.• Knowledge of EDI• Best Practices related to Security and HIPAA• Experience in Microsoft stack:  Visual Studio, TFS, C#, .Net, SQL Server, SSIS, SSRS• Experience in Agile development environmentLocal candidates only, please. We are unable to accept those needing or possessing H1B Visas.We are an Affirmative Action/EEO Employer who values workplace diversity.MACRO.CCS is an award winning computer consulting firm that has spent the last 25 years building meaningful and dependable relationships for both clients and candidates alike.  With offices located in Seattle & Los Angeles, we are industry experts delivering computer solutions, contract technical expertise, and direct hire placement services to both public and private organizations throughout the West Coast.  We are constantly looking for great people to join our team – To learn more about the work we do, technology trends we see, benefits we offer, or how your career might be enhanced by working with MACRO.CCS, send us an email at admin@macroccs.com      ",LISTING
2,Sr. Java Developer,"OverviewWe are seeking a Senior Java Developer for a position in the Coconut Creek area. This is an exciting position with an industry leader in the marketing software space.  ResponsibilitiesThe ideal candidate has SDLC experience from requirement gathering to deployment in a software engineering environment. We have a very collaborative team and a proven ability to work well in a team setting developing high performing software products. Any leadership experience is a plus.   Qualifications10+ years of SDLC experienceBS Degree10+ years of Java development SE/EEExperience gathering requirements, architecture, testing/QA, and deployment/releaseOO design and development Spring Framework/MVC REST/ORM/Hibernate/JDBC experienceSQL including SQL Server and PostgreSQLFront end technology including JavaScript, HTML, CSS, JSON, XML, AJAXTesting frameworks like JUnit, Spring Testing, Mock TestingAgile experienceDebugging web applications Web testing automation a + Cloud computing Any AngularJS/Bootstrap, Sass, or JQuery a +Linux/Windows admin a +Nginx or Windows IIS a +Any Java or Agile certifications a + ",LISTING
3,Cloud Developer,"Experience building scalable mobile applications on cloud platform such as Microsoft Azure and Amazon Web Services (AWS)Thorough understanding of Cloud Computing: virtualization technologies, Infrastructure as a Service, Platform as a Service and Software as a Service Cloud delivery models3 years experience in one or more programming or scripting languages such as Bash, Python, Ruby, PHP, and/or Java",LISTING
4,"Buy Side -Web Developer - Javascript, HTML","Description:Investment Management - Web Developer –HTML, JavaScript, Very successful global Investment Management firm seeks a Web developer with knowledge and work experience developing end to end Web based applications. Will be part of a team developing Web applications for internal users and external clients. Will enhance Web portal and be involved with developing new visualization tools. Position requires three plus experience developing Web based applications. Strong experience in JavaScript, HTML5, CSS, Python. Key Words: HTML, JavaScript, Python ",LISTING
5,SQL / MySQL Developer,"A well-known e-commerce company is in need of an SQL / MySQL Developer with strong analytics experience. You will be responsible for overseeing all aspects of data visualization, utilizing the Tableau platform.  This will require data engineering skills (Java, Python fundamentals) along with the ability to utilize SQL to pull large data sets. The output will be producing high quality dashboards and reports to summarize customer acquisition performance results across a variety of functional channels, including paid search, paid social, display advertising, affiliate marketing, and television.Essential Job Functions:Understand how to elicit requirements from the business to augment the BI data warehouse, Tableau dashboards, subject area analysis, and predictive forecastingProvide business department with operational support around existing and newly developed data solutions and reports; Produce high quality reports and analysis of marketing; effectively using charts, graphs and tables to convey analysis and summarize resultsApply agile approaches for proof-of-concept requirements. Using iterative methods to help drive and refine information requirements, Tableau dashboard mockups, and prototypingPerform high-level data analysis, dashboard interface design, develop user acceptance testing (UAT) criteria, and BI documentationSupport cross-organizational initiatives to improve key performance indicators, offering suggestions as to how information can be used more effectively to improve business performanceAdvanced capabilities in extracting and manipulating large data sets; Proficient in data mining software such as SQL or equivalent? QUALIFICATIONS2+ years of experience working with Tableau Desktop and Server (or related software);Exceptional with Excel and manual data analysis; ability to provide attractive presentation layersExperience working with SQL or MySQL required; experience with BigQuery, Java and Python preferredStrong knowledge of DR marketing metrics and optimization techniques; Experience with performance dashboards, balanced scorecards, strategic managementExperience in a high paced, high volume multi-tasking role and environment ",LISTING
6,"PeopleSoft Testing Manager//San Francisco, CA."," PeopleSoft Test Manager opportunity!! Start:         immediateLocation:  San Francisco,CADuration: 6 Months Job Description:  Looking for a Senior Level Test Manager who has created overall testing strategies for ERP systems involving complex integrations. Should have the following skills: Job Requirements • Drives all the testing needed for ERP projects• Responsible for all the system quality deliverables of ERP (PeopleSoft) projects• Updates emerge documentation to facilitate testingo ERD document for DRs and Issueso Business process flows with DRs• Develops and Test Strategy that is scalable for future projectso Unit test strategy and approacho System test strategyo Integration test strategy (across systems) and approach Includes regression test Includes performance test Requires baseline testing of processo Release test strategy and approacho Establish entry and exit criteria for each test phase• Manages testing process that includes:o Creating test caseso Building detailed test scriptso Execution of Testingo Monitoring of Testingo Reporting Test results• Drives the project test team to test effectively and efficiently to meet quality standards and deadlines• Follows best practice testing standards and processes• Communicates risk and mitigation plans for the project(s)• Resolve issues/remove roadblocks for the project test team and/or escalates accordingly Qualifications • Extensive experience in managing all quality deliverables for complex interdependent programs/projects.• Experience working on ERP, HR systems and applications, PeopleSoft preferred• Business Analysis experience in a complex system environment• Solid experience with authoring and executing test strategy and test plans• Understands and uses testing methodologies and processes.• Experience with the full software development lifecycle and software development methodologies (Agile).• Solid organizational and troubleshooting skills• Experience uncovering and clearly documenting defects with attention to detail• Interpersonal skills with the ability to work effectively in a matrixed organization.• Self-starter with a demonstrated ability to learn beyond formal training and a strong aptitude for delivering quality products.    Thanks & Regards,Dharmik Narayana | Lodestar Consulting   |    www.mylodestar.com   |   Office:  +12154027205 || Fax: 215-359-1311 |   Skype: lodestar103  | Enterprise Software Services | SAP | Oracle | PeopleSoftPhiladelphia  |  Princeton  |   Atlanta  |  BangaloreChat on G-talk : dharmikn@mylodestar.com   This e-mail and any attachments may contain confidential and privileged information. If you are not the intended recipient, please notify the sender immediately by return e-mail, delete this e-mail and destroy any copies. Any dissemination or use of this information by a person other than the intended recipient is unauthorized and may be illegal. Unless otherwise stated, opinions expressed in this e-mail are those of the author and are not endorsed by the author's employer.  ",LISTING
7,IT System Administrator," Please submit resume to vishakha AT PTSOL dot com or call at 408-945-3949 ext 3Local Candidates to Los Angeles onlyInperson interview is mustTitle: Systems AdministratorPay rate: $ on W2 ORcorp to corpDuration:7 to 12 monthsJob Type: Contract to HireLocation: Woodland Hills, CA Job Description:ROLE AND RESPONSIBILITIES  The Release Engineer / Tool Specialist is responsible for:  • Perform all configuration management duties  • Able to promote best practices within the broader UMG Build and Run organisations  Provide technical support to development engineers in the area of tool usage and build environments; ability to provide guidance on make and build methodologies  • Define and create product build and deployment packages  Automate application build procedures and related build jobs for both production and development test environments  • Provide best practice, configuration management and training for common delivery tools and services such as build servers (TeamCity in particular), various source control providers (Git in particular), and scripting (PowerShell in particular)  • Ability to configure and troubleshoot windows based platforms with particular focus on core services such as IIS, MSMQ, DTC and AD  • Creation and maintenance of build / simulation scripts  • Define and manage branching and merging strategies for production and development environments  • Control all software changes that will be released into production environments  • Provide configuration management reporting & analyses for all aspects of the software configuration management environment  • Identify and manage software and firmware component dependencies between concurrent development activities and develop core dependency resolution scripts  • Enforce and audit configuration management procedures performed by software developers  • Provide audit documentation when required as a result of internal or external audit activities  • Establish and document software configuration management strategies, procedures, policies and general configuration management plans for software development  • Integration of software tool-chain into a Continuous Integration environment  • Evaluation of configuration management tool-sets to help improve the overall configuration management objectives and to ensure they are sustainable and scalable QUALIFICATIONS AND EDUCATION REQUIREMENTS • Degree level qualification in Information Technology • Seven plus years of experience as a software engineer, developing embedded, web-based or server applications with an understanding of the full development lifecycle activities. • Three plus years of experience in building and releasing software applications in a controlled environment with an understanding of full lifecycle configuration management activities, while performing related system administration activities. • Experience working within an Agile team • Experience with a continuous integration environment • Experience with JIRA (and applicable plug-ins) • Strong knowledge of software development, build and configuration management tools. Linux, Windows, Microsoft WORD, EXCEL, PowerPoint, MS Project, Visio • Demonstrated experience in; o Problem solving o Ability to work effectively in a fast moving, multi-project team environment o Clear and effective written and verbal communication and strong interpersonal skills o A team player but equally able to work independently o Self-motivated and self-managing •Technical Skills; o Solid understanding and experience with version control systems, change management systems and documentation management systems; such as GIT, CVS, Subversion, Jira o Experience administering, upgrading and installing plug-ins with Bugzilla and Jira o Experience working within and understanding an Open Source consumer model with knowledge of GPL o Strong experience with Linux and related administrative activities o Experience in an Agile development environment and Continuous Integration o Experience with Configuration Management (i.e. Chef, Ansible, Puppet) o Knowledge of build automation o Experience with TeamCity o Experience with central logging solutions (i.e. Splunk, Snare, Logstash) o Experience with central monitoring solutions (i.e. Nagios, etc.)o Good understanding and experience with scripting such as bash / Perl / Python o Experience administering version control systems, especially modern distributed systems such as Git. o Experience with administration of DNS, SMTP, WFS, Apache, Tomcat o Exposure to non-Windows platforms and services (in particular Linux based OS) a plus o Exposure to cloud service providers – in particular AWS and Azure – would be useful o A background in software development and confidence with diverse range of tasks including coding, test automation, managing and configuring databases (both relational and non-relational), seeding and backups  AWS EC2 (Windows AIMs)  AWS RDS (SQL Server) o Experience with Applications/Frameworks:  ASP.NET MVC Sites (i.e. MSDeploy)  AngularJS  Elastic Search  WIF Identity Framework (and related technical knowledge like ADFS / WAAD / ACS, etc.) PREFERRED SKILLS • Confident • Articulate and good communicator • Delivery, Consulting skills • Organization • Eager to learn • Business Acumen • Business Consulting skills • Warm and approachable Release Engineer / Tool Specialist (DevOps)  This is a hands-on technical role for the ongoing support of the organizations development and testing teams. This will require standard support skills in the configuration and support of windows based platforms, tools configuration and standards, as well as the development and maintenance of the existing build and test automations and deployment scripts.  This position will work closely with development engineers at all levels across the organization, development managers, project managers and product managers. The primary responsibility is to serve the software configuration management needs of the development engineering.",LISTING
8,"Business Analyst, IT","Business AnalystThis is an experience business analyst with an understanding or solution design, development and testing principles.  This is a client-facing role that will manage the design of large custom development projects.  This role will be responsible for understanding business requirements, developing user stores/use cases and then working with a development team to communicate requirements and validate solutions being built.This opportunity is a 18-36+ month contract with strong chance of conversion to a FTE with target pay rate of $50/hr-$60/hr DOE.ResponsibilitiesEngage with business stakeholders to understand existing and desired capabilitiesWork with business stakeholders to document business process and business requirementsPrepare design documentation in the form of epics, use cases, user stories, etc. in a format that can be easily consumed and understood by an offshore development teamTranslate ambiguous business requirements into Agile user stories and technical specificationsWork with the offshore development team to clarify and refine requirements, perform design reviews, etc.Assist team with making appropriate commitments through story selection, task definitionHelp resolve issues and address questions of the offshore team by engaging with business stakeholders and feeding back responses.Elicit and think critically of business requirements, perform analysis and facilitate requirements prioritizationCreate, implement, and monitor the processes for requirements gathering and prioritization, test tracking, defect tracking and resolutionParticipate in and help lead project planning, daily stand-up meetings, reviews, retrospectives, sprint and release planning, demos and other Scrum-related meetingsAssist the development teams in practicing the core Agile principles of collaboration, prioritization, team accountability, and visibilityIdentify and remove impediments, prevent distractions that interfere with the ability of the team to deliver the sprint goalParticipate in the organization and planning of the development schedule based on methodology that has been developed to create a cohesive plan with identifiable critical path, task dependencies, and major milestones, and manages the agreed project plans and schedules, ensuring successful completion within scope, budget, time, and quality parametersAssist in solution definition and design of a large scale design or redesign of solutionsManage project financials, Statements of Work and Change OrdersManage all phases of the testing cycle (unit, integration, UAT, performance, etc.)Perform Organizational Change Management activities; communications planning, stakeholder management, and learning managementEffectively communicate risks, manage scope and prioritize features and issuesRequired5 years of business analysis experience on large custom development programsDesiredExperience in one or more of the following areas:Business Process ManagementBusiness IntelligenceEnterprise Information Management and CollaborationOrganizational Change ManagementSolid grasp and application of the Software Development Life-Cycle process Highly motivated, organized, and the ability to multi-task and work under tight deadlinesStrong written and spoken communication skillsStrong interpersonal skills, i.e. conflict resolution, facilitation, coaching, success recognition etc.Able to give and receive constructive feedback",LISTING
9,AUTOMATION TEST ENGINEER,"Looking for Selenium engineers. must have solid java coding skills. I have several openings some 3 month to hire some 6. must be able to go PERM. . This can be someone with 05 years of experience. Most important qualities are Eagerness and Aptitude. POSITION PURPOSE  Do you want to be on the forefront of cutting edge technology, introduce solutions to problems that didnt exist before, and have the ability to see the result of your successes? Our client assures growth by collaborating with development teams and creating tools that aid engineers in building, testing, debugging, and releasing software. We touch millions of users by increasing the rate of development and ensuring our products are methodically tested. We are experts in software health, testability, and sustainability. As a Software Engineer in Test at our client, you can expect to build flexible and scalable solutions while working on some of the most complex challenges in largescale computing by utilizing your skills in data structures and object oriented programming. MAJOR TASKS, RESPONSIBILITIES AND KEY ACCOUNTABILITIES  Lead and contribute to engineering efforts from planning to execution and delivery to solve complex engineering problems in tools and testing. . Design and build advanced automated testing frameworks. . Build tooling to help Developers measure and increase their velocity. . Adopt best practices in software health, testing, and sustainability. . Analyze and break down complex software systems and collaborate with Development teams to improve the overall design. NATURE AND SCOPE  . Typically reports to Manager Test Engineering . No associates report to the person in this role on a permanent basis . Analyze and resolve complex quality issues critical to solution delivery . Fastpaced environment of freedom and responsibility PREFERRED QUALIFICATIONS . Hands on Java Development experience . Proficient in Ab Initio ETL and Batch testing . Handson knowledge of Soap UI, ITKO Lisa, and Selenium . Hands on experience with Unix, KSH, and Bourne Shell Scripting . Strong scripting knowledge with Java, Groovy and Jmeter . Strong development experience working on web services REST and SOAP . Experience building test automation frameworks for web services using Soap UI, Groovy, or Lisa . Proficient in SQL . Working knowledge of SVN and Jenkins  build and development process . eCommerceRetail QA experience . Excellent written and verbal communication skills . Selfmotivated with a strong work ethic and a positive attitude . Desire to work in a fastpaced, results orientated team . Experience with a scripting language such as Perl . Passion to understand, learn, dissect and improve new technologies . Proficient in one or more of the following Retail applications, Windows platform, UNIX platforms, JAVA, Relational Databases, Websphere Application Server, Websphere Commerce, Websphere MQ . Comprehensive understanding of systems, applications and networks KNOWLEDGE, SKILLS, ABILITIES AND COMPETENCIES  . Proficient in one or more of the following Retail applications, Windows platform, UNIX platforms, MVS COBOL, JAVA, J2EE, Relational Databases, Websphere Application Server, Websphere Commerce, Websphere MQ, Networking Voice, LAN, WAN, SAP, Siebel, Peoplesoft . Comprehensive understanding of systems, applications and networks . Strong problem solving and analytical skills . Strong oral and written communication skills . Ability to coordinate and collaborate across crossfunctional teams. ",LISTING
