:END_ID,:START_ID,:TYPE
0,0,POSTED
283,0,POSTED
655,0,POSTED
1021,0,POSTED
2055,0,POSTED
2598,0,POSTED
3070,0,POSTED
3417,0,POSTED
3434,0,POSTED
3514,0,POSTED
3652,0,POSTED
3717,0,POSTED
4046,0,POSTED
4135,0,POSTED
4170,0,POSTED
7712,0,POSTED
7828,0,POSTED
7945,0,POSTED
8012,0,POSTED
8266,0,POSTED
8616,0,POSTED
8891,0,POSTED
10609,0,POSTED
11022,0,POSTED
11687,0,POSTED
11912,0,POSTED
15072,0,POSTED
15333,0,POSTED
15463,0,POSTED
15465,0,POSTED
15519,0,POSTED
15845,0,POSTED
16047,0,POSTED
1,1,POSTED
2,2,POSTED
2230,2,POSTED
2964,2,POSTED
3113,2,POSTED
3210,2,POSTED
3246,2,POSTED
8163,2,POSTED
8179,2,POSTED
8185,2,POSTED
8193,2,POSTED
8419,2,POSTED
10681,2,POSTED
3,3,POSTED
4,4,POSTED
1319,4,POSTED
1411,4,POSTED
1460,4,POSTED
1463,4,POSTED
1487,4,POSTED
1496,4,POSTED
1497,4,POSTED
1501,4,POSTED
1514,4,POSTED
1515,4,POSTED
1533,4,POSTED
1541,4,POSTED
1542,4,POSTED
1543,4,POSTED
1545,4,POSTED
1573,4,POSTED
1578,4,POSTED
1611,4,POSTED
1619,4,POSTED
1621,4,POSTED
1648,4,POSTED
1652,4,POSTED
1653,4,POSTED
1665,4,POSTED
1667,4,POSTED
1680,4,POSTED
1684,4,POSTED
1698,4,POSTED
1703,4,POSTED
1731,4,POSTED
1739,4,POSTED
1759,4,POSTED
1790,4,POSTED
1818,4,POSTED
1829,4,POSTED
1833,4,POSTED
8897,4,POSTED
8935,4,POSTED
8965,4,POSTED
8998,4,POSTED
5,5,POSTED
1642,5,POSTED
3735,5,POSTED
9071,5,POSTED
9286,5,POSTED
13861,5,POSTED
14139,5,POSTED
16014,5,POSTED
6,6,POSTED
4803,6,POSTED
4896,6,POSTED
4938,6,POSTED
5086,6,POSTED
7,7,POSTED
910,7,POSTED
1118,7,POSTED
11353,7,POSTED
13523,7,POSTED
13546,7,POSTED
8,8,POSTED
12,8,POSTED
14,8,POSTED
16,8,POSTED
19,8,POSTED
26,8,POSTED
31,8,POSTED
38,8,POSTED
46,8,POSTED
47,8,POSTED
58,8,POSTED
62,8,POSTED
64,8,POSTED
66,8,POSTED
74,8,POSTED
76,8,POSTED
162,8,POSTED
170,8,POSTED
243,8,POSTED
260,8,POSTED
1321,8,POSTED
1526,8,POSTED
1568,8,POSTED
1696,8,POSTED
1749,8,POSTED
1768,8,POSTED
1812,8,POSTED
1824,8,POSTED
8673,8,POSTED
9,9,POSTED
11,9,POSTED
20,9,POSTED
22,9,POSTED
24,9,POSTED
29,9,POSTED
30,9,POSTED
33,9,POSTED
51,9,POSTED
56,9,POSTED
65,9,POSTED
67,9,POSTED
73,9,POSTED
7662,9,POSTED
8877,9,POSTED
8939,9,POSTED
10,10,POSTED
28,10,POSTED
35,10,POSTED
52,10,POSTED
57,10,POSTED
9387,10,POSTED
10582,10,POSTED
10593,10,POSTED
10600,10,POSTED
10635,10,POSTED
10641,10,POSTED
10644,10,POSTED
13,11,POSTED
17,11,POSTED
40,11,POSTED
41,11,POSTED
43,11,POSTED
60,11,POSTED
15,12,POSTED
49,12,POSTED
59,12,POSTED
72,12,POSTED
77,12,POSTED
1494,12,POSTED
7639,12,POSTED
