skill_id:ID,skill_name,aliases[],:LABEL
0,ecommerceretail qa,ecommerceretail qa,SKILL
1,lan,lan,SKILL
2,peoplesoft,peoplesoft,SKILL
3,bourne shell scripting,bourne shell scripting,SKILL
4,groovy,groovy,SKILL
5,ksh,ksh,SKILL
6,selenium,selenium,SKILL
7,unix,unix,SKILL
8,java development,java development,SKILL
9,a software engineer in test,a software engineer in test,SKILL
10,development,developmental;drug development;development;redevelopment,SKILL
11,relational databases,relational database systems;relational database;relational databases,SKILL
12,mvs cobol,mvs cobol,SKILL
13,scope,scope,SKILL
14,manager test engineering,manager test engineering,SKILL
15,handson,handson,SKILL
16,ab initio etl,ab initio etl,SKILL
17,itko lisa,itko lisa,SKILL
18,soap ui,soap ui,SKILL
19,websphere application server,websphere application server,SKILL
20,networking voice,networking voice,SKILL
21,soap,soap,SKILL
22,retail,retail,SKILL
23,websphere commerce,websphere commerce,SKILL
24,mq,mq,SKILL
25,sap,sap,SKILL
26,lisa,lisa,SKILL
27,wan,wan,SKILL
28,websphere mq,websphere mq,SKILL
29,java,java,SKILL
30,rest,rest,SKILL
31,batch,batch,SKILL
32,j2ee,j2ee,SKILL
33,websphere,websphere,SKILL
34,siebel,siebel,SKILL
35,svn,svn,SKILL
36,systems administration,systems administration;system administration,SKILL
37,network monitoring,network monitoring,SKILL
38,incident response,incident response,SKILL
39,linux unix,linux unix,SKILL
40,security accessment,security accessment,SKILL
41,business inteligence,business intelligence;business process intelligence;business inteligence,SKILL
42,enterprise solutions architecture,enterprise architecture;enterprise solutions architecture,SKILL
43,reporting,reporting,SKILL
44,reports,reports,SKILL
45,selfdirected,selfdirected,SKILL
46,oracle,oracle,SKILL
47,skills c,skills c,SKILL
48,mysql,mysql,SKILL
49,overviewthe,overviewthe,SKILL
50,aix,aix,SKILL
51,jdbc,jdbc,SKILL
52,nontechnical requirements,nontechnical requirements,SKILL
53,javajdbc,javajdbc,SKILL
54,java developerfulltimedirecthirebolingbrook,java developerfulltimedirecthirebolingbrook,SKILL
55,kgaleckitranstechit.com,kgaleckitranstechit.com,SKILL
56,primary responsibilities develop,primary responsibilities develop,SKILL
57,a java developer,a java developer,SKILL
58,able,able,SKILL
59,tcpip,tcpip,SKILL
60,sql server,sql server,SKILL
61,databases multithreading,databases multithreading,SKILL
62,skills core java,skills core java,SKILL
63,linux,linux,SKILL
64,sql socket,sql socket,SKILL
65,dvcs socket,dvcs socket,SKILL
66,developer,developer;developers,SKILL
67,process engineering,sales process engineering;process engineering,SKILL
68,configuration management,configuration management;software configuration management,SKILL
69,management,management,SKILL
70,vmware,vmware,SKILL
71,ar,ar,SKILL
72,ap,ap,SKILL
73,haha,haha,SKILL
74,asset management,asset management,SKILL
75,fico,fico,SKILL
76,http,http,SKILL
77,security,security,SKILL
78,dns,dns,SKILL
79,network engineer,network engineer,SKILL
80,cisco,cisco,SKILL
81,networking,networking,SKILL
82,vpn,vpn,SKILL
83,video,video,SKILL
84,wireless,wireless,SKILL
85,aws,aws,SKILL
86,c#,c#,SKILL
87,restful web services,restful web services,SKILL
88,azure,azure,SKILL
89,mvc,mvc,SKILL
90,net,net,SKILL
91,oop,oop,SKILL
92,user interface,unity user interface;user interface,SKILL
93,javascript,javascript;javascripts,SKILL
94,c++,c++,SKILL
95,qa,qa,SKILL
96,syfy,syfy,SKILL
97,apps for windows mobile,apps for windows mobile,SKILL
98,webbased,webbased,SKILL
99,junior technologist,junior technologist,SKILL
100,splunk,splunk,SKILL
101,nbc sports,nbc sports,SKILL
102,national geographic,national geographic,SKILL
103,apps,apps,SKILL
104,ase,ase,SKILL
105,an application support engineer,an application support engineer,SKILL
