:START_ID,:END_ID,:TYPE
0,26,TEACHES
19,26,TEACHES
0,128,TEACHES
18,128,TEACHES
0,19,TEACHES
3,19,TEACHES
4,19,TEACHES
2,23,TEACHES
5,53,TEACHES
5,53,TEACHES
7,53,TEACHES
8,53,TEACHES
9,53,TEACHES
5,163,TEACHES
7,163,TEACHES
5,20,TEACHES
7,28,TEACHES
8,28,TEACHES
8,28,TEACHES
9,53,TEACHES
9,20,TEACHES
9,71,TEACHES
10,74,TEACHES
10,129,TEACHES
13,129,TEACHES
12,34,TEACHES
12,18,TEACHES
12,52,TEACHES
12,59,TEACHES
19,18,TEACHES
19,52,TEACHES
19,59,TEACHES
14,31,TEACHES
16,18,TEACHES
16,52,TEACHES
16,59,TEACHES
16,64,TEACHES
