:START_ID,:END_ID,:TYPE
0,20261,TEACHES
330,20261,TEACHES
1906,20261,TEACHES
2424,20261,TEACHES
2445,20261,TEACHES
2452,20261,TEACHES
2650,20261,TEACHES
2709,20261,TEACHES
2899,20261,TEACHES
3481,20261,TEACHES
0,22609,TEACHES
11,22609,TEACHES
142,22609,TEACHES
1371,22609,TEACHES
1508,22609,TEACHES
1666,22609,TEACHES
1826,22609,TEACHES
2014,22609,TEACHES
2596,22609,TEACHES
3010,22609,TEACHES
3020,22609,TEACHES
3055,22609,TEACHES
3079,22609,TEACHES
3111,22609,TEACHES
0,9990,TEACHES
38,9990,TEACHES
60,9990,TEACHES
64,9990,TEACHES
87,9990,TEACHES
104,9990,TEACHES
117,9990,TEACHES
133,9990,TEACHES
159,9990,TEACHES
170,9990,TEACHES
173,9990,TEACHES
209,9990,TEACHES
222,9990,TEACHES
230,9990,TEACHES
232,9990,TEACHES
255,9990,TEACHES
292,9990,TEACHES
326,9990,TEACHES
339,9990,TEACHES
445,9990,TEACHES
452,9990,TEACHES
463,9990,TEACHES
494,9990,TEACHES
508,9990,TEACHES
531,9990,TEACHES
535,9990,TEACHES
544,9990,TEACHES
575,9990,TEACHES
595,9990,TEACHES
600,9990,TEACHES
604,9990,TEACHES
605,9990,TEACHES
614,9990,TEACHES
625,9990,TEACHES
631,9990,TEACHES
650,9990,TEACHES
671,9990,TEACHES
672,9990,TEACHES
676,9990,TEACHES
700,9990,TEACHES
732,9990,TEACHES
740,9990,TEACHES
741,9990,TEACHES
747,9990,TEACHES
758,9990,TEACHES
771,9990,TEACHES
777,9990,TEACHES
798,9990,TEACHES
804,9990,TEACHES
850,9990,TEACHES
854,9990,TEACHES
900,9990,TEACHES
915,9990,TEACHES
955,9990,TEACHES
969,9990,TEACHES
1008,9990,TEACHES
1022,9990,TEACHES
1035,9990,TEACHES
1039,9990,TEACHES
1067,9990,TEACHES
1073,9990,TEACHES
1088,9990,TEACHES
1097,9990,TEACHES
1111,9990,TEACHES
1115,9990,TEACHES
1162,9990,TEACHES
1176,9990,TEACHES
1213,9990,TEACHES
1246,9990,TEACHES
1258,9990,TEACHES
1263,9990,TEACHES
1285,9990,TEACHES
1362,9990,TEACHES
1371,9990,TEACHES
1372,9990,TEACHES
1398,9990,TEACHES
