course_skill_id,course_skill_name
0,trading
1,financial analysis business finance
2,financial modeling
3,data analysis
4,python
5,finance
6,python programming
7,jupyter notebook
8,general statistics
9,analysis
10,dataframe   manipulate
11,linear
12,computer programming
13,statistical analysis
14,ruby
15,data structures
16,parallel computing
17,openfabrics alliance
18,unified parallel c
19,parallel algorithm
20,scala
21,computer programming computerscience softwaredevelopment
22,cc
23,algorithms
24,functional program design
25,scala programming
26,task parallelism
27,learning outcomes
28,data parallelism
29,recommended
30,c
31,go! programming language
32,go programming language
33,numbers spreadsheet
34,subroutine computerscience softwaredevelopment
35,language
36,google
37,record computer science
38,structured text
39,java
40,garbage collection computer science
41,project
42,tensorflow
43,materials
44,training
45,series a round
46,statistical classification
47,convolutional neural network datascience machinelearning
48,project mine
49,modeling
50,deeplearning
51,ai tensorflow developer professional certificate
52,artificial neural networks
53,convolutional neural networks
54,the tensorflow for convolutional neural networks
55,keras
56,image processing
57,machine learning datascience machinelearning
58,cifar
59,courseras
60,convolutional neural network cnn
61,rhyme
62,image classification
63,jupyter
64,cnn
65,front and back ends
66,convolutional neural network
67,deep learning
68,javascript syntax
69,pointing device gesture
70,ui
71,test automation
72,basic selenium
73,text box
74,selenium
75,drag and drop
76,web computerscience softwaredevelopment
77,c sharp programming language
78,checkbox
79,scrum software development
80,behavior driven development
81,writing
82,bdd
83,english language
84,syntax
85,continuous function computerscience softwaredevelopment
86,collaboration
87,write datadriven
88,project management
89,software
90,behavior
91,building test automation framework
92,testng
93,screenshot
94,reusability
95,test case
96,helper class
97,debugging
98,maintenance
99,php computerscience softwaredevelopment
100,xml
101,functional testing
102,test next generation
103,test data computerscience softwaredevelopment
104,paramters
105,data provider
106,datadriven testing
107,testng  datadriven
108,datadriven
109,testng xml
110,ab testing
111,exercise
112,operations management
113,action class
114,selenium  java
115,software testing tools
116,ecommerce
117,web application
118,javascripts
119,web
120,ordered pair computerscience softwaredevelopment
121,mouse
122,selenium software
123,leadership
124,leadership and management
125,human resources
126,technology strategy
127,organizational culture
128,business strategy business leadershipandmanagement
129,organizational structure
130,culture
131,resource
132,organization design
133,humanitarian
134,the world health organization
135,risk lifesciences publichealth
136,risk factor
137,the sustainable development goals
138,risk factors
139,hamper
140,noncommunicable disease
141,crisis
142,disasters
143,disease
144,emergency
145,documents
146,agile management
147,agile project management
148,web design business businessstrategy
149,user story
150,agile
151,presentation
152,product development
153,anticipation
154,scanning
155,strategy
156,microeconomics
157,mooc
158,grasp business businessstrategy
159,hotel
160,act up
161,thought
162,the darden school of business
163,usability
164,usability testing
165,project management institute pmi
166,product management
167,pmi
168,analytics
169,touchpoint
170,agile management computerscience designandproduct
171,the university of virginia
172,the university of virginia darden school of business
173,java annotation
174,a project management institute pmi registered education provider
175,cost
176,investment business businessessentials
177,federal taxation ii property transactions of business owners
178,asset
179,taxes
180,gift
181,depletion accounting
182,amortization
183,shareholders
184,residence
185,income
186,exit system call
187,static files
188,activities
189,software engineering
190,theater
191,sport
192,java programming
193,interfaces computerscience mobileandwebdevelopment
194,android studio  projects
195,ordered pair
196,android
197,"books, art, music"
198,android development
199,android studio
200,"drama, science fiction"
201,a persistent storage app
202,the anxiety response
203,a physical distancing world
204,control management
205,pandemics
206,suggest additional
207,meditation
208,mental health
209,psychologies
210,stress management lifesciences psychology
211,the need to guard against depression the importance of control
212,stress
213,anxiety
214,the necessity of strategies to manage anxiety . achieving relaxation a skill we all need to learn
215,mind control
216,covid
217,the importance of social connection
218,introduction and overview
219,shadow banning
220,global financial crisis
221,financial crisis
222,peertopeer lending
223,shadow banking system
224,blockchain
225,emerging markets
226,financial regulation
227,fintech business finance
228,microsoft excel
229,strategy business marketing
230,product sales
231,tracking
232,product lifecycle
