listing_skill_id,listing_skill_name
0,ecommerceretail qa
1,lan
2,peoplesoft
3,bourne shell scripting
4,groovy
5,ksh
6,selenium
7,unix
8,java development
9,a software engineer in test
10,development
11,relational databases
12,mvs cobol
13,scope
14,manager test engineering
15,handson
16,ab initio etl
17,itko lisa
18,soap ui
19,websphere application server
20,networking voice
21,soap
22,retail
23,websphere commerce
24,mq
25,sap
26,lisa
27,wan
28,websphere mq
29,java
30,rest
31,batch
32,j2ee
33,websphere
34,siebel
35,svn
36,systems administration
37,network monitoring
38,incident response
39,linux unix
40,security accessment
41,business inteligence
42,enterprise solutions architecture
43,reporting
44,reports
45,selfdirected
46,oracle
47,skills c
48,mysql
49,overviewthe
50,aix
51,jdbc
52,nontechnical requirements
53,javajdbc
54,java developerfulltimedirecthirebolingbrook
55,kgaleckitranstechit.com
56,primary responsibilities develop
57,a java developer
58,able
59,tcpip
60,sql server
61,databases multithreading
62,skills core java
63,linux
64,sql socket
65,dvcs socket
66,developer
67,process engineering
68,configuration management
69,management
70,vmware
71,ar
72,ap
73,haha
74,asset management
75,fico
76,http
77,security
78,dns
79,network engineer
80,cisco
81,networking
82,vpn
83,video
84,wireless
85,aws
86,c#
87,restful web services
88,azure
89,mvc
90,net
91,oop
92,user interface
93,javascript
94,c++
95,qa
96,syfy
97,apps for windows mobile
98,webbased
99,junior technologist
100,splunk
101,nbc sports
102,national geographic
103,apps
104,ase
105,an application support engineer
106,"java, groovy, ruby"
107,fox sports network
108,british telecom
109,javabased web services
110,ases
111,ruby
112,bonus experiencevideo
113,linux os
114,the application support engineer
115,windows mobile
116,jquery
117,gnu
118,travel channel
119,ios
120,androids
121,comcast
122,flash
123,summaryour
124,windows
125,oim
126,iam
127,scripting knowledge
128,oss
129,sales engineer
130,project
131,consulting
132,sales
133,windows server administratormust
134,microsoft operations managermust
135,requirements
136,ip
137,citrix
138,cisco pix
139,the windows systems administrator
140,microsoft operations
141,tcp
142,nas
143,wins
144,dutiesjob
145,active directory  domain
146,win nt
147,windows systems
148,microsoft
149,microsoft sql
150,microsoft exchange
151,san
152,ntfs
153,vbstrong
154,udp
155,win 2k2k3
156,technical
157,windows server
158,vlansstrong
159,windows systems administrator
160,systems
161,software
162,desktop
163,network
164,hardware
165,bidata warehousing
166,a java architect
167,oltp
168,business requirements
169,analyst
170,it
171,analysis
172,application
173,excel
174,business analyst
175,powerpoint
176,it services project
177,retail  manufacturing  
178,retail  manufacturing  supply chain  product engineering  mobility
179,c c++
180,load performance testing
181,fixfast
182,system testing
183,agile
184,manager
185,case
186,defect management
187,project management
188,matlab
189,labview
190,fba
191,customer experience
192,fulfillment
193,data analysts
194,sellers
195,authors
196,fba sellers
197,sellersuccess
198,amazon fulfillment centers
199,eu
200,build processes
201,amazon transformationsebook
202,amazon fba
203,amazon global selling
204,enabling seller
205,marketplace
206,amazon
207,react
208,nodejs
209,angularjs
210,andfireeye
211,fire eye
212,c and c++
213,mobile
214,android
215,pharma or biotech
216,scheduling
217,primavera 60
218,eit
219,construction
220,ms project stadard
221,unifier
222,ai
223,3d
224,browzwear
225,maya
226,java and java ee
227,jsf
228,spring
229,struts
230,and hibernate
231,pmp
232,database
233,telecommunications
234,salesforce
235,metrics
236,lifecycle
237,data scientist
238,intuit
239,vector model search
240,pg&e & kaiser
241,etouch systems
242,digital web engineering
243,google
244,service &
245,data engineers
246,java developer
247,custom development solutions| integration & support
248,raju | etouch systems | desk
249,ca 94555
250,sony
251,web & mobile.
252,established
253,yahoo
254,solution architects
255,net and c#
256,sql
257,and websites
258,manual and automation mobile
259,consumer electronics devices
260,automation mobile
261,financial services
262,security and risk management
263,banking
264,operations analysis
265,regulated environment
266,info sec
267,wealth management
268,informatica admin
269,kinesis
270,redshift
271,amazons homepage personalization
272,dynamodb
273,prime video views
274,preferably with scala
275,movies
276,ms
277,cares
278,hadoop
279,books
280,spark
281,python
282,amazoncom
283,prime music streams
284,data driven development
285,fashion
286,data analysis
287,supervision
288,outlook
289,onsite
290,andmonitor
291,andcra
292,site or on site
293,on site or
294,quality assurance casino/gaming
295,analyzes
296,bsee
