listing_skill_id,listing_skill_name,course_skill_names,course_skill_ids,all_skills_matched,all_skills_matched_str
0,ecommerceretail qa,[],[],['ecommerceretail qa'],ecommerceretail qa
1,lan,['lan'],[7652],['lan'],lan
2,peoplesoft,[],[],['peoplesoft'],peoplesoft
3,bourne shell scripting,[],[],['bourne shell scripting'],bourne shell scripting
4,groovy,[],[],['groovy'],groovy
5,ksh,[],[],['ksh'],ksh
6,selenium,['selenium'],[70],['selenium'],selenium
7,unix,['unix'],[1720],['unix'],unix
8,java development,[],[],['java development'],java development
9,a software engineer in test,[],[],['a software engineer in test'],a software engineer in test
10,development,"['developmental', 'redevelopment', 'drug development']","[4405, 14793, 196]","['developmental', 'drug development', 'development', 'redevelopment']",developmental;drug development;development;redevelopment
11,relational databases,"['relational database', 'relational database systems']","[936, 3409]","['relational database systems', 'relational database', 'relational databases']",relational database systems;relational database;relational databases
12,mvs cobol,[],[],['mvs cobol'],mvs cobol
13,scope,[],[],['scope'],scope
14,manager test engineering,[],[],['manager test engineering'],manager test engineering
15,handson,['handson'],[930],['handson'],handson
16,ab initio etl,[],[],['ab initio etl'],ab initio etl
17,itko lisa,[],[],['itko lisa'],itko lisa
18,soap ui,[],[],['soap ui'],soap ui
19,websphere application server,[],[],['websphere application server'],websphere application server
20,networking voice,[],[],['networking voice'],networking voice
21,soap,['soap'],[6951],['soap'],soap
22,retail,[],[],['retail'],retail
23,websphere commerce,[],[],['websphere commerce'],websphere commerce
24,mq,[],[],['mq'],mq
25,sap,['sap'],[16746],['sap'],sap
26,lisa,[],[],['lisa'],lisa
27,wan,[],[],['wan'],wan
28,websphere mq,[],[],['websphere mq'],websphere mq
29,java,['java'],[1732],['java'],java
30,rest,['rest'],[4713],['rest'],rest
31,batch,[],[],['batch'],batch
32,j2ee,[],[],['j2ee'],j2ee
33,websphere,['websphere'],[15703],['websphere'],websphere
34,siebel,[],[],['siebel'],siebel
35,svn,[],[],['svn'],svn
36,systems administration,['system administration'],[15592],"['systems administration', 'system administration']",systems administration;system administration
37,network monitoring,['network monitoring'],[6096],['network monitoring'],network monitoring
38,incident response,[],[],['incident response'],incident response
39,linux unix,[],[],['linux unix'],linux unix
40,security accessment,[],[],['security accessment'],security accessment
41,business inteligence,"['business intelligence', 'business process intelligence']","[2858, 13916]","['business intelligence', 'business process intelligence', 'business inteligence']",business intelligence;business process intelligence;business inteligence
42,enterprise solutions architecture,['enterprise architecture'],[3440],"['enterprise architecture', 'enterprise solutions architecture']",enterprise architecture;enterprise solutions architecture
43,reporting,[],[],['reporting'],reporting
44,reports,[],[],['reports'],reports
45,selfdirected,[],[],['selfdirected'],selfdirected
46,oracle,['oracle'],[4688],['oracle'],oracle
47,skills c,[],[],['skills c'],skills c
48,mysql,['mysql'],[931],['mysql'],mysql
49,overviewthe,[],[],['overviewthe'],overviewthe
50,aix,[],[],['aix'],aix
51,jdbc,[],[],['jdbc'],jdbc
52,nontechnical requirements,[],[],['nontechnical requirements'],nontechnical requirements
53,javajdbc,[],[],['javajdbc'],javajdbc
54,java developerfulltimedirecthirebolingbrook,[],[],['java developerfulltimedirecthirebolingbrook'],java developerfulltimedirecthirebolingbrook
55,kgaleckitranstechit.com,[],[],['kgaleckitranstechit.com'],kgaleckitranstechit.com
56,primary responsibilities develop,[],[],['primary responsibilities develop'],primary responsibilities develop
57,a java developer,[],[],['a java developer'],a java developer
58,able,[],[],['able'],able
59,tcpip,['tcpip'],[3090],['tcpip'],tcpip
60,sql server,['sql server'],[10777],['sql server'],sql server
61,databases multithreading,[],[],['databases multithreading'],databases multithreading
62,skills core java,[],[],['skills core java'],skills core java
63,linux,['linux'],[1323],['linux'],linux
64,sql socket,[],[],['sql socket'],sql socket
65,dvcs socket,[],[],['dvcs socket'],dvcs socket
66,developer,['developers'],[15998],"['developer', 'developers']",developer;developers
67,process engineering,"['process engineering', 'sales process engineering']","[3491, 2324]","['sales process engineering', 'process engineering']",sales process engineering;process engineering
68,configuration management,"['configuration management', 'software configuration management']","[4851, 16377]","['configuration management', 'software configuration management']",configuration management;software configuration management
69,management,['management'],[6148],['management'],management
70,vmware,['vmware'],[3410],['vmware'],vmware
71,ar,['ar'],[11641],['ar'],ar
72,ap,[],[],['ap'],ap
73,haha,[],[],['haha'],haha
74,asset management,['asset management'],[5231],['asset management'],asset management
75,fico,[],[],['fico'],fico
76,http,['http'],[1425],['http'],http
77,security,['security'],[168],['security'],security
78,dns,['dns'],[1423],['dns'],dns
79,network engineer,[],[],['network engineer'],network engineer
80,cisco,['cisco'],[10090],['cisco'],cisco
81,networking,['networking'],[8146],['networking'],networking
82,vpn,[],[],['vpn'],vpn
83,video,[],[],['video'],video
84,wireless,['wireless'],[1134],['wireless'],wireless
85,aws,['aws'],[336],['aws'],aws
86,c#,[],[],['c#'],c#
87,restful web services,[],[],['restful web services'],restful web services
88,azure,['azure'],[3891],['azure'],azure
89,mvc,['mvc'],[5033],['mvc'],mvc
90,net,[],[],['net'],net
91,oop,[],[],['oop'],oop
92,user interface,"['user interface', 'unity user interface']","[928, 2371]","['unity user interface', 'user interface']",unity user interface;user interface
93,javascript,"['javascript', 'javascripts']","[1590, 11920]","['javascript', 'javascripts']",javascript;javascripts
94,c++,[],[],['c++'],c++
95,qa,['qa'],[4849],['qa'],qa
96,syfy,[],[],['syfy'],syfy
97,apps for windows mobile,[],[],['apps for windows mobile'],apps for windows mobile
98,webbased,[],[],['webbased'],webbased
99,junior technologist,[],[],['junior technologist'],junior technologist
100,splunk,['splunk'],[9236],['splunk'],splunk
101,nbc sports,[],[],['nbc sports'],nbc sports
102,national geographic,[],[],['national geographic'],national geographic
103,apps,[],[],['apps'],apps
104,ase,[],[],['ase'],ase
