course_skill_id,course_skill_name
0,computer programming
1,linear
2,analysis
3,python programming
4,trading
5,dataframe   manipulate
6,jupyter notebook
7,finance
8,general statistics
9,financial analysis business finance
10,data analysis
11,statistical analysis
12,financial modeling
13,python
14,openfabrics alliance
15,learning outcomes
16,scala
17,task parallelism
18,scala programming
19,recommended
20,parallel computing
21,data structures
22,unified parallel c
23,functional program design
24,parallel algorithm
25,algorithms
26,ruby
27,data parallelism
28,computer programming computerscience softwaredevelopment
29,cc
30,go! programming language
31,structured text
32,garbage collection computer science
33,record computer science
34,numbers spreadsheet
35,subroutine computerscience softwaredevelopment
36,c
37,java
38,go programming language
39,google
40,language
41,tensorflow
42,the tensorflow for convolutional neural networks
43,statistical classification
44,materials
45,convolutional neural networks
46,ai tensorflow developer professional certificate
47,modeling
48,training
49,project
50,artificial neural networks
51,project mine
52,series a round
53,deeplearning
54,convolutional neural network datascience machinelearning
55,cnn
56,jupyter
57,keras
58,deep learning
59,front and back ends
60,machine learning datascience machinelearning
61,cifar
62,courseras
63,image processing
64,convolutional neural network
65,image classification
66,rhyme
67,convolutional neural network cnn
68,c sharp programming language
69,test automation
70,basic selenium
71,selenium
72,checkbox
73,text box
74,drag and drop
75,ui
76,web computerscience softwaredevelopment
77,pointing device gesture
78,javascript syntax
79,continuous function computerscience softwaredevelopment
80,software
81,writing
82,write datadriven
83,project management
84,syntax
85,english language
86,scrum software development
87,behavior
88,bdd
89,behavior driven development
90,collaboration
91,php computerscience softwaredevelopment
92,testng
93,helper class
94,screenshot
95,building test automation framework
96,test case
97,debugging
98,reusability
99,maintenance
100,ab testing
101,testng  datadriven
102,test next generation
103,xml
104,data provider
105,exercise
106,testng xml
107,datadriven testing
108,test data computerscience softwaredevelopment
109,paramters
110,datadriven
111,functional testing
112,mouse
113,action class
114,selenium  java
115,selenium software
116,software testing tools
117,javascripts
118,ordered pair computerscience softwaredevelopment
119,web application
120,web
121,ecommerce
122,operations management
123,human resources
124,resource
125,leadership and management
126,organization design
127,culture
128,organizational culture
129,business strategy business leadershipandmanagement
130,leadership
131,organizational structure
132,technology strategy
133,risk factor
134,humanitarian
135,the sustainable development goals
136,crisis
137,disease
138,emergency
139,risk factors
140,hamper
141,disasters
142,noncommunicable disease
143,risk lifesciences publichealth
144,the world health organization
145,documents
146,agile project management
147,agile
148,user story
149,web design business businessstrategy
150,presentation
151,product development
152,agile management
153,mooc
154,grasp business businessstrategy
155,thought
156,scanning
157,strategy
158,act up
159,anticipation
160,microeconomics
161,hotel
162,the darden school of business
163,the university of virginia
164,analytics
165,pmi
166,project management institute pmi
167,agile management computerscience designandproduct
168,touchpoint
169,a project management institute pmi registered education provider
170,the university of virginia darden school of business
171,product management
172,usability
173,usability testing
174,java annotation
175,income
176,shareholders
177,investment business businessessentials
178,asset
179,federal taxation ii property transactions of business owners
180,cost
181,amortization
182,residence
183,taxes
184,depletion accounting
185,gift
186,android
187,sport
188,static files
189,android development
190,"books, art, music"
191,android studio
192,a persistent storage app
193,exit system call
194,software engineering
195,interfaces computerscience mobileandwebdevelopment
196,theater
197,ordered pair
198,android studio  projects
199,"drama, science fiction"
200,java programming
201,activities
202,introduction and overview
203,pandemics
204,a physical distancing world
205,stress
206,stress management lifesciences psychology
207,meditation
208,mental health
209,suggest additional
210,mind control
211,psychologies
212,control management
213,covid
214,the necessity of strategies to manage anxiety . achieving relaxation a skill we all need to learn
215,the importance of social connection
216,the need to guard against depression the importance of control
217,anxiety
218,the anxiety response
219,shadow banning
220,shadow banking system
221,global financial crisis
222,financial regulation
223,financial crisis
224,fintech business finance
225,emerging markets
226,blockchain
227,peertopeer lending
228,microsoft excel
229,tracking
230,strategy business marketing
231,product lifecycle
232,product sales
