listing_skill_id,listing_skill_name
0,lightning connect
1,salesforce
2,mobilesdk
3,apex
4,visualforce
5,salesforce1 platform and lightning components
6,security
7,edi
8,ms stack
9,sql server
10,oo
11,spring framework mvc
12,testing qa
13,experience gathering requirements
14,sql
15,architecture
16,azure
17,aws
18,web development
19,python
20,javascript
21,html
22,tableau
23,java
24,bigquery
25,mysql
26,analyst
27,peoplesoft test manager
28,testing
29,dns
30,administrator
31,analytics
32,it ba
33,sdlc
34,documentation
35,it business analyst
36,requirement gathering
37,soap ui
38,itko lisa
39,lisa
40,relational databases
41,manager test engineering
42,lan
43,retail
44,sap
45,websphere commerce
46,ksh
47,networking voice
48,peoplesoft
49,siebel
50,wan
51,bourne shell scripting
52,development
53,selenium
54,websphere application server
55,handson
56,soap
57,j2ee
58,svn
59,java development
60,mq
61,websphere
62,rest
63,unix
64,a software engineer in test
65,ab initio etl
66,batch
67,scope
68,mvs cobol
69,websphere mq
70,groovy
71,ecommerceretail qa
72,sdlc over infrastructure
73,saltstack
74,human resources department
75,windows
76,scrum
77,saas
78,eeo
79,ansible
80,additional informationnuance communication inc.
81,linux
82,devops
83,orchestration
84,puppet
85,healthcare
86,company overviewat nuance
87,perl
88,oo perl
89,noc
90,informationnuance communication inc.
91,infrastructure
92,windows and linux
93,accessexperience
94,the bu s
95,"lexington, makelly services"
96,power point
97,the field force
98,kelly services
99,mdm data
100,competenciesestablishes
101,mdm data analyst  lexington
102,it
103,u.s. commercial operations
104,commercial technology team it
105,mdm
106,the mdmdata governance manager
107,visiodemonstrates
108,microsoft office
109,pharma
110,mdm data analyst
111,excel
112,ms excel
113,makelly services
114,bu
115,35 data steward team managementresponsible
116,visio
117,ms office
118,commercial technology team
119,global data management peers
120,product data harmonization
121,mdm uat testing45 operational excellenceresponsible
122,informatica mdmidd
123,kelly learning center
124,sales operations
125,global commercial operations
126,management information systems
127,"finance, sciences"
128,finance
129,sales leadership
130,key skills
131,lms
132,system administration
133,regan.brownkellyit.com
134,complexity and problem solving responsibilities
135,saba admin and management
136,regan.brownkellyit.com.. job descriptionunder
137,the issue management tool
138,lms saba administrator  
139,"waltham, makelly services"
140,lms saba administrator
141,working conditionsresponsibilities
142,"the manager, system administration"
143,"skills, knowledge and abilities handson"
144,html5
145,essential responsibilitiesfunctions research
146,ms
147,datavyu.org
148,js
149,qa
150,api
151,coffeescript
152,developerposition summarythe databrary
153,crm
154,abilities handson
155,angular2
156,job title front end developerposition summarythe
157,new york university
158,pdf resume
159,css
160,ux
161,pdf resume pdfwe
162,tdd testdriven
163,ui
164,databrary databrary.org
165,css3 stylus
166,reactjs
167,pis
168,mvcdesign
